time,measurement,field,value,application,batchId,configurationId,executionCounter,host,interface,projectId,userId
2026-06-04 07:56:20+00:00,net,bytes_recv,111704635306,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:56:30+00:00,net,bytes_recv,111704635857,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:56:40+00:00,net,bytes_recv,111704636204,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:56:50+00:00,net,bytes_recv,111704636603,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:00+00:00,net,bytes_recv,111704636978,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:10+00:00,net,bytes_recv,111704637197,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:20+00:00,net,bytes_recv,111704637544,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:30+00:00,net,bytes_recv,111704637815,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:40+00:00,net,bytes_recv,111704638290,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:57:50+00:00,net,bytes_recv,111704638689,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:00+00:00,net,bytes_recv,111704639040,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:10+00:00,net,bytes_recv,111704639387,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:20+00:00,net,bytes_recv,111704639658,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:30+00:00,net,bytes_recv,111704669206,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:40+00:00,net,bytes_recv,111704669553,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:58:50+00:00,net,bytes_recv,111704669900,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:00+00:00,net,bytes_recv,111704670275,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:10+00:00,net,bytes_recv,111704670622,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:20+00:00,net,bytes_recv,111704670893,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:30+00:00,net,bytes_recv,111704671292,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:40+00:00,net,bytes_recv,111704671615,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:59:50+00:00,net,bytes_recv,111704672038,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:00+00:00,net,bytes_recv,111704672465,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:10+00:00,net,bytes_recv,111704672788,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:20+00:00,net,bytes_recv,111704673187,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:30+00:00,net,bytes_recv,111704673610,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:40+00:00,net,bytes_recv,111704673941,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:00:50+00:00,net,bytes_recv,111704674288,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:00+00:00,net,bytes_recv,111704676935,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:10+00:00,net,bytes_recv,111704677310,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:20+00:00,net,bytes_recv,111704677657,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:30+00:00,net,bytes_recv,111704685042,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:40+00:00,net,bytes_recv,111704685389,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:01:50+00:00,net,bytes_recv,111704685712,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:00+00:00,net,bytes_recv,111704686187,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:10+00:00,net,bytes_recv,111704686562,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:20+00:00,net,bytes_recv,111704686833,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:30+00:00,net,bytes_recv,111704687360,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:40+00:00,net,bytes_recv,111704687707,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:02:50+00:00,net,bytes_recv,111704687978,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:00+00:00,net,bytes_recv,111704688325,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:10+00:00,net,bytes_recv,111704688700,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:20+00:00,net,bytes_recv,111704689047,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:30+00:00,net,bytes_recv,111704689394,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:40+00:00,net,bytes_recv,111704689665,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:03:50+00:00,net,bytes_recv,111704690012,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:00+00:00,net,bytes_recv,111704690283,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:10+00:00,net,bytes_recv,111704690734,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:20+00:00,net,bytes_recv,111704691133,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:30+00:00,net,bytes_recv,111704691404,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:40+00:00,net,bytes_recv,111704691803,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:04:50+00:00,net,bytes_recv,111704692226,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:00+00:00,net,bytes_recv,111704692497,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:10+00:00,net,bytes_recv,111704692872,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:20+00:00,net,bytes_recv,111704693219,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:30+00:00,net,bytes_recv,111704693566,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:40+00:00,net,bytes_recv,111704693965,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:05:50+00:00,net,bytes_recv,111704694340,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:00+00:00,net,bytes_recv,111704694687,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:10+00:00,net,bytes_recv,111704695062,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:20+00:00,net,bytes_recv,111704698013,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:30+00:00,net,bytes_recv,111704698360,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:40+00:00,net,bytes_recv,111704698631,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:06:50+00:00,net,bytes_recv,111704699030,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:00+00:00,net,bytes_recv,111704699481,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:10+00:00,net,bytes_recv,111704699780,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:20+00:00,net,bytes_recv,111704700203,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:30+00:00,net,bytes_recv,111704700602,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:40+00:00,net,bytes_recv,111704700949,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:07:50+00:00,net,bytes_recv,111704701296,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:00+00:00,net,bytes_recv,111704701567,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:10+00:00,net,bytes_recv,111704701966,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:20+00:00,net,bytes_recv,111704702341,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:30+00:00,net,bytes_recv,111704702740,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:40+00:00,net,bytes_recv,111704703163,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:08:50+00:00,net,bytes_recv,111704703434,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:09:00+00:00,net,bytes_recv,111704703933,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:09:10+00:00,net,bytes_recv,111704704332,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 08:09:20+00:00,net,bytes_recv,111704704631,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
