time,measurement,field,value,application,batchId,configurationId,executionCounter,host,name,projectId,userId
2026-06-04 07:50:20+00:00,diskio,io_time,60,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop0,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,92,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop1,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,35,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop2,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,33,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop3,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,22,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop4,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,0,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop5,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,27265180,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,nvme0n1,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,31525104,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,nvme0n1p1,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,76,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,nvme0n1p14,olap,benchANT
2026-06-04 07:50:20+00:00,diskio,io_time,105,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,nvme0n1p15,olap,benchANT
2026-06-04 07:50:30+00:00,diskio,io_time,60,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop0,olap,benchANT
2026-06-04 07:50:30+00:00,diskio,io_time,92,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop1,olap,benchANT
2026-06-04 07:50:30+00:00,diskio,io_time,35,dbms,tpc-ds,postgresql-100gb-load,1,ip-172-31-16-115,loop2,olap,benchANT
